ParName	Value	Gradient
log_relpop[358]	0.172469	3.75311e-07
log_relpop[359]	-0.466491	1.2328e-07
log_relpop[360]	-0.233519	-2.51956e-07
log_relpop[361]	0.5196	-1.2687e-06
log_relpop[362]	0.338653	2.20473e-07
log_relpop[363]	-0.484355	3.24998e-08
log_relpop[364]	-0.494666	-2.30708e-07
log_relpop[365]	-0.166219	5.65432e-07
log_relpop[366]	0.0924562	9.17017e-07
log_relpop[367]	0.400531	-3.15758e-07
log_relpop[368]	0.336593	-7.94052e-07
log_relpop[369]	0.349575	5.6093e-07
log_relpop[370]	0.172469	3.75311e-07
log_relpop[371]	-0.466491	1.2328e-07
log_relpop[372]	-0.233519	-2.51956e-07
log_relpop[373]	0.5196	-1.2687e-06
log_relpop[374]	0.338653	2.20473e-07
log_relpop[375]	-0.484355	3.24998e-08
log_relpop[376]	-0.494666	-2.30708e-07
log_relpop[377]	-0.166219	5.65432e-07
log_relpop[378]	0.0924562	9.17017e-07
log_relpop[379]	0.400531	-3.15758e-07
log_relpop[380]	0.336593	-7.94052e-07
log_relpop[381]	0.349575	5.6093e-07
log_relpop[382]	0.172469	3.75311e-07
log_relpop[383]	-0.466491	1.2328e-07
log_relpop[384]	-0.233519	-2.51956e-07
log_relpop[385]	0.5196	-1.2687e-06
log_relpop[386]	0.338653	2.20473e-07
log_relpop[387]	-0.484355	3.24998e-08
log_relpop[388]	-0.494666	-2.30708e-07
log_relpop[389]	-0.166219	5.65432e-07
log_relpop[390]	0.0924562	9.17017e-07
log_relpop[391]	0.400531	-3.15758e-07
log_relpop[392]	0.336593	-7.94052e-07
log_relpop[393]	0.349575	5.6093e-07
log_relpop[394]	0.172469	3.75311e-07
log_relpop[395]	-0.466491	1.2328e-07
log_relpop[396]	-0.233519	-2.51956e-07
log_relpop[397]	0.5196	-1.2687e-06
log_relpop[398]	0.338653	2.20473e-07
log_relpop[399]	-0.484355	3.24998e-08
log_relpop[400]	-0.494666	-2.30708e-07
log_relpop[401]	-0.166219	5.65432e-07
log_relpop[402]	0.0924562	9.17017e-07
log_relpop[403]	0.400531	-3.15758e-07
log_relpop[404]	0.336593	-7.94052e-07
log_relpop[405]	0.349575	5.6093e-07
log_relpop[406]	0.172469	3.75311e-07
log_relpop[407]	-0.466491	1.2328e-07
log_relpop[408]	-0.233519	-2.51956e-07
log_relpop[409]	0.5196	-1.2687e-06
log_relpop[410]	0.338653	2.20473e-07
log_relpop[411]	-0.484355	3.24998e-08
log_relpop[412]	-0.494666	-2.30708e-07
log_relpop[413]	-0.166219	5.65432e-07
log_relpop[414]	0.0924562	9.17017e-07
log_relpop[415]	0.400531	-3.15758e-07
log_relpop[416]	0.336593	-7.94052e-07
log_relpop[417]	0.349575	5.6093e-07
log_relpop[418]	0.172469	3.75311e-07
log_relpop[419]	-0.466491	1.2328e-07
log_relpop[420]	-0.233519	-2.51956e-07
log_relpop[421]	0.5196	-1.2687e-06
log_relpop[422]	0.338653	2.20473e-07
log_relpop[423]	-0.484355	3.24998e-08
log_relpop[424]	-0.494666	-2.30708e-07
log_relpop[425]	-0.166219	5.65432e-07
log_relpop[426]	0.0924562	9.17017e-07
log_relpop[427]	0.400531	-3.15758e-07
log_relpop[428]	0.336593	-7.94052e-07
log_relpop[429]	0.349575	5.6093e-07
log_relpop[430]	0.172469	3.75311e-07
log_relpop[431]	-0.466491	1.2328e-07
log_relpop[432]	-0.233519	-2.51956e-07
log_relpop[433]	0.5196	-1.2687e-06
log_relpop[434]	0.338653	2.20473e-07
log_relpop[435]	-0.484355	3.24998e-08
log_relpop[436]	-0.494666	-2.30708e-07
log_relpop[437]	-0.166219	5.65432e-07
log_relpop[438]	0.0924562	9.17017e-07
log_relpop[439]	0.400531	-3.15758e-07
log_relpop[440]	0.336593	-7.94052e-07
log_relpop[441]	0.349575	5.6093e-07
log_relpop[442]	0.172469	3.75311e-07
log_relpop[443]	-0.466491	1.2328e-07
